time,label
9289.742358,200
12289.463294,100
15289.174873,300
18288.970971,100
21288.721187,300
24288.475477,100
27288.223278,300
30288.024658,100
33287.701976,300
36287.467588,100
39287.217048,200
42286.98613,100
45286.792491,200
48286.454867,100
51286.239496,300
54286.061251,100
57285.71125,200
60285.461769,100
63285.219983,300
66285.002498,100
69284.724943,300
72284.456897,100
75284.224469,200
78283.962309,100
81283.733505,200
84283.53745,100
87283.22654,200
90283.020977,100
93282.740404,200
96282.474018,100
99282.251401,300
102281.996334,100
105281.767529,300
108281.57872,100
111281.291657,300
114280.971993,100
117280.756621,300
120280.51393,100
123280.250109,200
126280.030511,100
129279.740279,200
132279.518114,100
135279.28312,200
138279.082689,100
141278.764385,300
144278.508413,100
147278.250328,300
150278.027106,100
153277.757099,200
156277.535235,100
159277.33888,300
162277.080795,100
165276.815013,200
168276.54938,100
171276.275298,300
174276.012685,100
177275.766372,200
180275.529719,100
183275.287632,300
186275.057016,100
189274.795912,200
192274.594425,100
195274.291363,300
198274.021657,100
201273.757685,200
204273.557556,100
207273.293585,200
210272.958225,100
213272.808204,200
216272.642184,100
219272.311805,300
222272.062473,100
225271.804238,300
228271.555813,100
231271.288219,300
234271.057753,100
237270.808422,200
240270.5769,100
243270.340094,200
246270.082161,100
