time,label
112.529227,500
5018.211522,500
9018.763314,100
12017.679956,500
16017.717085,100
19017.100546,400
23017.675127,100
26016.55268,400
30016.782089,100
33016.054468,500
37016.572601,100
40015.407593,400
44015.549616,100
47014.910439,200
51015.476567,100
54014.307332,500
58014.460222,100
61013.741504,300
65014.911344,100
68013.164661,400
72013.415805,100
75012.596721,400
79013.315588,100
82012.152392,300
86012.370481,100
89011.535703,500
93011.224037,100
96010.986175,300
100011.197323,100
103010.408273,200
107010.164376,100
110009.869916,300
114010.137812,100
117009.300014,300
121009.289751,100
124008.711548,500
128009.367027,100
131008.176662,300
135008.009585,100
138007.607062,200
142007.9551,100
145007.049083,500
149006.890458,100
152006.47601,500
156006.848047,100
159005.936596,300
163005.806346,100
166005.340434,300
170005.929956,100
173004.803283,300
177004.776116,100
180004.242135,500
184004.7085,100
187003.750867,200
191003.654575,100
194003.099161,200
198003.612918,100
201002.582839,400
205002.555219,100
208002.019427,500
212002.65287,100
215001.493747,200
219001.482579,100
222000.834496,300
226001.449978,100
229000.375224,500
233000.38609,100
235999.77091,400
240000.507285,100
242999.231949,400
246999.297603,100
249999.052647,300
253999.264398,100
256998.099693,200
260998.387661,100
263997.526168,300
267998.172438,100
270997.013769,400
274997.164093,100
277996.39557,200
281997.127265,100
284995.884077,300
288996.067455,100
291995.314024,500
295996.06036,100
298994.744273,300
302995.018509,100
305994.158675,200
309993.933189,100
312993.613827,300
316993.92353,100
319993.077582,300
323992.853152,100
326992.524886,400
330992.823723,100
333992.040409,300
337991.823677,100
340991.373461,500
344991.724367,100
347990.990407,500
351990.747112,100
354990.335533,500
358990.686438,100
361989.729711,500
365989.589649,100
368989.158601,300
372989.586632,100
375988.600623,200
379988.562136,100
382988.08249,200
386988.464184,100
389987.545338,500
393987.433803,100
396986.914613,500
400987.41554,100
403986.416401,500
407986.400101,100
410985.842575,200
414986.340183,100
417985.270711,400
421985.277653,100
424984.712129,200
428985.240224,100
431984.17679,300
435984.348092,100
438983.57655,500
442984.126078,100
445983.040608,500
449983.158785,100
452982.538925,300
456983.197875,100
459981.900653,400
463982.016264,100
466981.59895,500
470982.092482,100
473980.801902,500
477980.940001,100
480980.23532,500
484980.894722,100
487979.674021,400
491979.878679,100
494979.129173,400
498979.818761,100
501978.580855,200
505978.814339,100
508978.154183,500
512978.787776,100
515977.484065,400
519977.679667,100
522976.90873,300
526976.602045,100
529976.359806,400
533976.60295,100
536975.742664,400
540975.543893,100
543975.314332,500
547975.522009,100
550974.70534,200
554974.477893,100
557974.12744,300
561974.477591,100
